,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,puerto ayora,-0.74,-90.35,68.0,92,93,5.88,EC,1596265270
1,bethel,41.37,-73.41,66.0,100,1,4.7,US,1596265270
2,bluff,-46.6,168.33,52.95,84,100,7.49,NZ,1596265271
3,loiza,18.43,-65.88,80.6,83,20,4.7,PR,1596265271
4,la seyne-sur-mer,43.1,5.88,82.99,73,0,6.91,FR,1596265271
5,general pico,-35.66,-63.76,44.24,68,6,10.0,AR,1596265271
6,tiksi,71.69,128.87,44.01,78,83,5.59,RU,1596265272
7,port alfred,-33.59,26.89,61.7,63,0,4.36,ZA,1596265272
8,lebu,-37.62,-73.65,50.77,81,100,16.17,CL,1596265272
9,pital,2.27,-75.8,63.34,78,100,5.01,CO,1596265272
10,nazarovo,56.01,90.39,63.84,74,100,5.86,RU,1596265272
11,alofi,-19.06,-169.92,68.0,82,33,6.93,NU,1596265273
12,dikson,73.51,80.55,50.47,91,96,4.32,RU,1596265273
13,gigmoto,13.78,124.39,79.2,84,100,6.02,PH,1596265273
14,tura,25.52,90.22,86.07,76,100,3.09,IN,1596265274
15,vaini,-21.2,-175.2,68.0,82,40,8.05,TO,1596265274
16,hasaki,35.73,140.83,86.0,65,40,11.41,JP,1596265274
17,san ignacio,17.16,-89.07,77.0,80,100,1.41,BZ,1596265274
18,yamada,39.47,141.95,73.92,80,67,4.07,JP,1596265274
19,pahrump,36.21,-115.98,90.0,16,0,3.0,US,1596265275
20,hermanus,-34.42,19.23,50.0,97,0,1.99,ZA,1596265275
21,ampanihy,-24.7,44.75,68.11,56,11,12.39,MG,1596265275
22,bahir dar,11.59,37.39,60.48,90,100,5.53,ET,1596265275
23,hithadhoo,-0.6,73.08,83.39,70,12,6.87,MV,1596265009
24,miles city,46.41,-105.84,68.0,68,1,9.17,US,1596265258
25,kapaa,22.08,-159.32,78.8,78,75,13.87,US,1596265276
26,east london,-33.02,27.91,57.2,67,0,6.93,ZA,1596265276
27,namibe,-15.2,12.15,71.51,61,0,2.1,AO,1596265276
28,caravelas,-17.71,-39.25,69.35,84,32,9.93,BR,1596265277
29,pacific grove,36.62,-121.92,57.99,94,0,6.17,US,1596265011
30,busselton,-33.65,115.33,63.0,48,98,5.48,AU,1596265277
31,thinadhoo,0.53,72.93,83.37,75,60,10.31,MV,1596265277
32,asprovalta,40.72,23.7,91.0,53,0,3.0,GR,1596265277
33,nadvoitsy,63.87,34.32,58.17,69,41,9.31,RU,1596265278
34,san andres,12.58,-81.7,80.6,88,20,2.24,CO,1596265206
35,punta arenas,-53.15,-70.92,37.4,86,100,11.41,CL,1596265278
36,coahuayana,18.73,-103.68,79.75,75,100,3.44,MX,1596265278
37,muros,42.78,-9.06,64.0,83,21,1.01,ES,1596265279
38,rizal,15.71,121.11,84.96,71,100,2.77,PH,1596265279
39,dingle,11.0,122.67,83.35,75,100,3.15,PH,1596265279
40,half moon bay,37.46,-122.43,60.01,93,90,10.29,US,1596265279
41,cape town,-33.93,18.42,55.99,100,1,4.7,ZA,1596265084
42,vostok,46.49,135.88,75.49,86,100,5.41,RU,1596265280
43,wilmington island,32.0,-80.97,82.4,78,1,5.82,US,1596265280
44,new norfolk,-42.78,147.06,62.01,68,0,1.99,AU,1596265280
45,kodiak,57.79,-152.41,55.4,87,90,5.82,US,1596265280
46,kahului,20.89,-156.47,78.8,61,40,13.87,US,1596265281
47,bonham,33.58,-96.18,73.99,88,1,4.7,US,1596265281
48,mar del plata,-38.0,-57.56,48.0,100,11,5.82,AR,1596265157
49,muskogee,35.58,-95.33,70.0,88,1,5.82,US,1596265192
50,kirakira,-10.45,161.92,81.73,74,84,2.48,SB,1596265281
51,mataura,-46.19,168.86,51.71,80,100,4.14,NZ,1596265282
52,taksimo,56.34,114.88,66.42,81,100,1.16,RU,1596265282
53,westport,41.14,-73.36,71.6,83,1,5.68,US,1596265282
54,nosy varika,-20.58,48.53,67.95,79,96,5.1,MG,1596265282
55,hilo,19.73,-155.09,73.4,78,90,5.82,US,1596265283
56,simao,22.79,100.97,83.8,68,100,0.65,CN,1596265209
57,rikitea,-23.12,-134.97,73.54,83,100,3.83,PF,1596265283
58,barrow,71.29,-156.79,35.6,78,90,4.7,US,1596265283
59,inirida,3.87,-67.92,71.83,94,64,0.56,CO,1596265284
60,albany,42.6,-73.97,71.01,77,75,4.7,US,1596265284
61,ayorou,14.73,0.92,79.56,63,11,13.02,NE,1596265284
62,laguna,38.42,-121.42,69.01,56,1,8.05,US,1596265285
63,ribeira grande,38.52,-28.7,69.8,73,75,5.82,PT,1596265285
64,los chiles,11.03,-84.72,74.16,96,10,3.06,CR,1596265285
65,lazaro cardenas,17.96,-102.2,80.04,75,100,4.32,MX,1596265285
66,pontes e lacerda,-15.23,-59.34,66.42,61,0,2.77,BR,1596265285
67,jamestown,42.1,-79.24,64.4,88,1,4.7,US,1596265115
68,buarcos,40.17,-8.88,64.4,93,90,8.05,PT,1596265286
69,coquimbo,-29.95,-71.34,48.2,93,0,3.53,CL,1596265286
70,palu,-0.89,119.87,77.49,84,100,4.16,ID,1596265286
71,tasiilaq,65.61,-37.64,39.2,80,28,5.82,GL,1596265287
72,san rafael del sur,11.85,-86.44,80.6,83,40,5.41,NI,1596265287
73,banyo,6.75,11.82,68.77,90,0,1.34,CM,1596265287
74,ladario,-19.0,-57.6,68.56,58,14,2.71,BR,1596265257
75,castro,-24.79,-50.01,51.26,91,97,6.55,BR,1596265224
76,apatou,5.16,-54.35,73.17,95,90,1.01,GF,1596265288
77,sinnamary,5.38,-52.95,76.48,86,79,4.59,GF,1596265288
78,meulaboh,4.14,96.13,85.32,63,100,4.97,ID,1596265288
79,payo,-3.75,103.64,91.36,41,100,3.96,ID,1596265288
80,mahebourg,-20.41,57.7,75.2,73,40,13.87,MU,1596265289
81,nusaybin,37.08,41.22,95.0,15,0,9.17,TR,1596265289
82,porto novo,6.5,2.6,77.0,88,90,8.05,BJ,1596265289
83,avarua,-21.21,-159.78,62.6,93,83,2.24,CK,1596265289
84,alekseyevsk,57.84,108.35,67.87,65,100,7.9,RU,1596265289
85,qaanaaq,77.48,-69.36,33.58,86,77,2.71,GL,1596265290
86,severo-kurilsk,50.68,156.12,54.48,83,90,13.06,RU,1596265290
87,tuktoyaktuk,69.45,-133.04,51.17,81,100,14.16,CA,1596265290
88,atuona,-9.8,-139.03,78.82,74,0,19.8,PF,1596265290
89,khatanga,71.97,102.5,78.15,35,42,12.77,RU,1596265290
90,upernavik,72.79,-56.15,41.41,68,51,12.62,GL,1596265291
91,atar,20.52,-13.05,87.96,49,0,2.57,MR,1596265291
92,herat,34.5,62.0,86.0,25,0,6.93,AF,1596265291
93,ushuaia,-54.8,-68.3,41.0,86,90,14.99,AR,1596265292
94,okha,53.57,142.95,53.35,80,100,13.51,RU,1596265292
95,agara,42.04,43.82,81.23,40,0,11.68,GE,1596265292
96,klaksvik,62.23,-6.59,51.8,93,9,18.34,FO,1596265293
97,yeniseysk,58.45,92.17,66.65,64,100,6.96,RU,1596265293
98,georgetown,5.41,100.34,89.01,58,20,8.05,MY,1596265221
99,mangaratiba,-22.96,-44.04,64.4,82,75,6.93,BR,1596265294
100,bacolod,10.67,122.95,82.67,75,88,2.57,PH,1596265294
101,lahore,31.55,74.34,82.4,83,40,4.7,PK,1596265156
102,nikolskoye,59.7,30.79,57.2,71,75,11.18,RU,1596265295
103,nelson bay,-32.72,152.15,64.4,55,0,7.14,AU,1596265295
104,chuy,-33.7,-53.46,47.05,91,0,2.17,UY,1596265295
105,rovaniemi,66.5,25.72,64.4,55,0,8.05,FI,1596265295
106,lloydminster,53.28,-110.0,60.8,77,1,6.93,CA,1596265242
107,hobart,-42.88,147.33,62.01,51,75,11.41,AU,1596265107
108,santiago del estero,-27.8,-64.26,50.07,59,0,3.89,AR,1596265296
109,kaitangata,-46.28,169.85,53.01,77,100,1.01,NZ,1596265296
110,ambilobe,-13.2,49.05,89.06,33,0,4.03,MG,1596265297
111,prince rupert,54.32,-130.32,60.8,82,40,8.05,CA,1596265297
112,goure,13.98,10.27,79.0,74,89,7.0,NE,1596265297
113,yellowknife,62.46,-114.35,64.0,67,75,10.29,CA,1596265298
114,high level,58.52,-117.14,68.0,72,1,4.7,CA,1596265007
115,norman wells,65.28,-126.83,75.2,47,20,6.93,CA,1596265298
116,san patricio,19.22,-104.7,80.04,78,99,4.23,MX,1596265298
117,huacho,-11.11,-77.61,58.96,84,55,2.06,PE,1596265299
118,saint-denis,48.92,2.33,71.01,82,90,8.05,FR,1596265299
119,te anau,-45.42,167.72,49.03,89,100,2.19,NZ,1596265299
120,biak,-0.91,122.88,79.32,81,100,6.02,ID,1596265300
121,buala,-8.14,159.59,82.8,70,100,2.89,SB,1596265300
122,singaparna,-7.35,108.11,85.17,48,15,5.86,ID,1596265300
123,havelock,34.88,-76.9,84.0,20,1,6.93,US,1596265056
124,esperance,-33.87,121.9,60.8,59,90,4.7,AU,1596265209
125,bredasdorp,-34.53,20.04,39.2,100,0,2.24,ZA,1596265301
126,barra patuca,15.8,-84.28,80.11,86,68,6.29,HN,1596265302
127,morondava,-20.28,44.28,79.68,54,37,5.32,MG,1596265302
128,saint-philippe,-21.36,55.77,71.6,88,75,13.87,RE,1596265302
129,airai,-8.93,125.41,69.55,59,8,4.25,TL,1596265302
130,urengoy,65.97,78.37,68.59,46,100,15.41,RU,1596265303
131,rio gallegos,-51.62,-69.22,37.4,86,75,4.7,AR,1596265099
132,longyearbyen,78.22,15.64,42.8,93,90,4.7,SJ,1596265303
133,thompson,55.74,-97.86,51.8,100,40,4.18,CA,1596265304
134,saskylakh,71.92,114.08,74.37,34,77,4.72,RU,1596265304
135,beberibe,-4.18,-38.13,78.8,69,40,12.75,BR,1596265304
136,san quintin,30.48,-115.95,70.39,72,0,2.17,MX,1596265304
137,eureka,40.8,-124.16,55.99,100,91,3.94,US,1596265031
138,tilichiki,60.47,166.1,56.44,80,89,3.4,RU,1596265305
139,anderson,34.53,-82.65,75.2,94,1,4.7,US,1596265101
140,deniliquin,-35.53,144.97,57.99,61,13,5.17,AU,1596265305
141,cockburn town,21.46,-71.14,82.24,81,100,24.23,TC,1596265207
142,yuryevets,57.32,43.1,62.01,70,0,3.8,RU,1596265306
143,katsuura,35.13,140.3,86.0,69,75,12.75,JP,1596265306
144,olafsvik,64.89,-23.71,50.95,86,56,12.21,IS,1596265307
145,parchim,53.43,11.85,59.0,93,20,9.17,DE,1596265307
146,ilulissat,69.22,-51.1,42.8,100,100,2.24,GL,1596265307
147,samana,19.21,-69.34,78.24,90,34,7.96,DO,1596265307
148,sofiyivka,48.05,33.87,71.6,43,0,6.71,UA,1596265308
149,vidyayevo,69.32,32.8,51.8,81,75,8.95,RU,1596265308
150,almaznyy,48.04,40.05,66.2,88,40,6.71,RU,1596265308
151,zhigansk,66.77,123.37,71.29,37,0,10.76,RU,1596265309
152,sao filipe,14.9,-24.5,75.04,82,100,6.67,CV,1596265309
153,svetlaya,46.54,138.33,69.51,86,100,8.34,RU,1596265309
154,bukama,-9.2,25.85,81.5,28,0,4.68,CD,1596265309
155,san jose de guanipa,8.89,-64.17,75.06,89,86,2.42,VE,1596265309
156,cairns,-16.92,145.77,73.99,60,90,19.46,AU,1596265310
157,ponta do sol,32.67,-17.1,66.99,53,0,2.8,PT,1596265310
158,lompoc,34.64,-120.46,57.2,93,90,3.36,US,1596265258
159,akureyri,65.68,-18.09,53.6,81,90,3.36,IS,1596265310
160,kyabe,9.45,18.94,78.66,82,23,3.6,TD,1596265311
161,victoria,22.29,114.16,82.0,83,100,11.01,HK,1596265261
162,jinan,36.67,117.0,98.01,54,100,7.63,CN,1596265311
163,carnarvon,-24.87,113.63,69.8,60,57,19.46,AU,1596265024
164,annapolis,38.98,-76.49,75.2,87,90,2.26,US,1596265238
165,waingapu,-9.66,120.26,81.45,53,0,15.39,ID,1596265312
166,solnechnyy,50.72,136.63,61.7,95,100,2.08,RU,1596265312
